10/01/2022	Labs - Slashing Expectations	PN3005	120	02:00:00	LABS	16:00:00	EDU	2
10/02/2022	Labs - Thinking Outside the Frame	PN3007	120	02:00:00	LABS	16:00:00	EDU	2
10/08/2022	Labs - Playing the Part	PN3006	120	02:00:00	LABS	16:00:00	EDU	2
09/29/2022	The Killing of a Journalist	PN2837	100	01:40:00	INSIG	15:45:00	IN08	2
09/29/2022	Nayola	PN2880	83	01:23:00	PANOR	18:15:00	IN08	2
09/29/2022	Carajita	PN2903	89	1:29	PANOR	20:30:00	IN08	2
09/30/2022	Zátopek	PN2829	131	02:11:00	PANOR	12:45:00	IN08	2
09/30/2022	Moja Vesna	PN2915	77	01:17:00	VANGU	16:00:00	IN08	2
09/30/2022	Field of Blood	PN2959	88	1:28	PANOR	18:00:00	IN08	2
09/30/2022	Pussy	PN2873	84	01:24:00	NORTHL	20:45:00	IN08	2
10/01/2022	Day After...	PN2824	115	01:55:00	SPECT	12:15:00	IN08	2
10/01/2022	Reel Youth Film Festival	PN2965	76	01:16:00	INTSH	15:15:00	IN08	2
10/01/2022	Family Ties	PN2899	108	1:48	INTSH	18:00:00	IN08	2
10/01/2022	The Maiden	PN2883	117	01:57:00	NORTHL	21:15:00	IN08	2
10/02/2022	All That Breathes	PN2990	94	01:34:00	INSIG	12:30:00	IN08	2
10/02/2022	Pussy	PN2873	84	01:24:00	NORTHL	15:15:00	IN08	2
10/02/2022	Connect/Disconnect/Reconnect	PN2878	111	01:51:00	INTSH	17:45:00	IN08	2
10/02/2022	Like a Fish on the Moon	PN2871	78	01:18:00	PANOR	20:45:00	IN08	2
10/03/2022	Geographies of Solitude	PN2827	103	01:43:00	SPECT	11:00:00	IN08	2
10/03/2022	International Shorts: Family Ties	PN2899	108	01:48:00	INTSH	13:45:00	IN08	2
10/03/2022	Morality Plays	PN2907	107	01:47:00	INTSH	17:45:00	IN08	2
10/03/2022	The Maiden	PN2883	117	01:57:00	NORTHL	20:45:00	IN08	2
10/04/2022	Piaffe	PN2918	86	01:26:00	PANOR	10:45:00	IN08	2
10/04/2022	Connect/Disconnect/Reconnect	PN2878	111	01:50:00	INTSH	13:00:00	IN08	2
10/04/2022	Soviet Bus Stops	PN2884	56	00:56:00	PORTR	16:15:00	IN08	2
10/04/2022	Personal Journeys	PN2877	105	01:45:00	INTSH	18:30:00	IN08	2
10/04/2022	My Imaginary Country	PN2886	83	01:23:00	INSIG	21:30:00	IN08	2
10/05/2022	The Mountain	PN2895	115	01:55:00	PANOR	10:45:00	IN08	2
10/05/2022	Morality Plays	PN2907	107	01:47:00	INTSH	13:30:00	IN08	2
10/05/2022	This House	PN2844	75	01:15:00	NORTHL	16:30:00	IN08	2
10/05/2022	Having a Bad Day	PN2908	114	01:54:00	INTSH	18:30:00	IN08	2
10/05/2022	Adam Ondra: Pushing the Limits	PN2839	77	01:17:00	INSIG	21:45:00	IN08	2
10/06/2022	Goya, Carrière and the Ghost of Buñuel	PN2881	90	01:30:00	PORTR	10:45:00	IN08	2
10/06/2022	Personal Journeys	PN2877	105	01:45:00	INTSH	13:00:00	IN08	2
10/06/2022	8 Stories About My Hearing Loss	PN2819	86	01:26:00	SPECT	16:00:00	IN08	2
10/06/2022	Something You Said Last Night	PN2927	108	01:48:00	NORTHL	18:45:00	IN08	2
10/06/2022	Leonora addio	PN2856	91	01:31:00	PANOR	21:45:00	IN08	2
10/07/2022	Cesária Évora	PN2838	94	01:34:00	PORTR	10:45:00	IN08	2
10/07/2022	Having a Bad Day	PN2908	114	01:54:00	INTSH	13:00:00	IN08	2
10/07/2022	If You Are a Man	PN2879	74	01:14:00	INSIG	16:15:00	IN08	2
10/07/2022	There There	PN2957	93	01:33:00	PANOR	18:15:00	IN08	2
10/07/2022	Zátopek	PN2829	131	02:11:00	PANOR	21:00:00	IN08	2
10/08/2022	The Locust	PN2956	79	01:19:00	VANGU	13:15:00	IN08	2
10/08/2022	See You Friday, Robinson	PN2822	97	1:37	SPECT	15:30:00	IN08	2
10/08/2022	No Prior Appointment	PN2960	115	1:55	PANOR	18:00:00	IN08	2
10/08/2022	Once Upon a Time in Calcutta	PN2867	133	02:13:00	PANOR	20:45:00	IN08	2
10/09/2022	Reel Youth Film Festival	PN2965	76	01:16:00	INTSH	13:30:00	IN08	2
10/09/2022	The Uncle	PN2964	104	01:44:00	VANGU	15:45:00	IN08	2
10/09/2022	If You Are a Man	PN2879	74	01:14:00	INSIG	18:15:00	IN08	2
10/09/2022	Maigret	PN2896	88	01:28:00	PANOR	20:15:00	IN08	2
09/29/2022	The Beasts	PN2861	137	02:17:00	PANOR	15:15:00	IN09	2
09/29/2022	Utama	PN2821	87	1:27	PANOR	18:30:00	IN09	2
09/29/2022	Thunder	PN2840	92	1:32	PANOR	21:00:00	IN09	2
09/30/2022	Maigret	PN2896	88	01:28:00	PANOR	13:00:00	IN09	2
09/30/2022	Riverside Mukolitta	PN2836	121	02:01:00	PANOR	15:30:00	IN09	2
09/30/2022	Aftersun	PN2970	98	01:38:00	PANOR	18:30:00	IN09	2
09/30/2022	You Can Live Forever	PN2920	96	01:36:00	NORTHL	21:00:00	IN09	2
10/01/2022	Nayola	PN2880	83	1:23	PANOR	10:30:00	IN09	2
10/01/2022	We Are Family	PN2916	100	01:40:00	PANOR	12:45:00	IN09	2
10/01/2022	The Mountain	PN2895	115	01:55:00	PANOR	15:30:00	IN09	2
10/01/2022	Plan 75	PN2841	112	01:52:00	PANOR	18:15:00	IN09	2
10/01/2022	Pacifiction	PN2846	165	02:45:00	SHOWC	21:00:00	IN09	2
10/02/2022	Mediterranean Fever	PN2857	108	01:48:00	PANOR	10:30:00	IN09	2
10/02/2022	Field of Blood	PN2959	87	01:27:00	PANOR	13:15:00	IN09	2
